"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Automatic Colony Counter using Computer Vision and Artificial Intelligence","A. N. Fathiyah; E. Loniza; K. T. Putra","Department of Medical Electronics Technology, Universitas Muhammadiyah Yogyakarta, Yogyakarta, Indonesia; Department of Medical Electronics Technology, Universitas Muhammadiyah Yogyakarta, Yogyakarta, Indonesia; Department of Electrical Engineering, Universitas Muhammadiyah Yogyakarta, Yogyakarta, Indonesia",2023 International Workshop on Artificial Intelligence and Image Processing (IWAIIP),"19 Mar 2024","2023","","","122","126","Bacterial colony counting is a critical step in biomedical research and clinical diagnosis. The manual counting process usually carried out by health analysts will only count a quarter of the number of colonies in the petri dish. Due to the large number of bacterial colonies that appear on the petri dish. However, this has a big effect on the final result of the analysis. The goal of this research is to create a real-time, automated method for counting bacterial colonies based on artificial intelligence and computer vision. YOLOv5 TensorRT on Jetson Nano, is used in this research to create and test deep learning models for automated microbial colony detection. This research demonstrated the results of computations performed manually and those performed using colony counter tools are compared, the average value is 0.0142%. This is considered an excellent number since the lower the error value obtained, the more exact the instrument.","","979-8-3503-8291-4","10.1109/IWAIIP58158.2023.10462747","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10462747","colony counting;computer vision;YOLOv5;tensorRT;jetson nano","YOLO;Performance evaluation;Computer vision;Microorganisms;Computational modeling;Instruments;Network architecture","","4","","15","IEEE","19 Mar 2024","1-2 Dec. 2023","1-2 Dec. 2023","IEEE","IEEE Conferences"
"Application of CRNN and OpenGL in Intelligent Landscape Design Systems Utilizing Internet of Things, Explainable Artificial Intelligence, and Drone Technology","Y. Xie","Department of Environmental Art and Design, School of Art and Design, Shaanxi Institute of Fashion Engineering, Shaanxi Fashion Engineering University, Xi’an, China",IEEE Transactions on Consumer Electronics,"18 Aug 2025","2025","71","2","3930","3940","This paper presents the development of an innovative intelligent landscape design system that integrates Convolutional Recurrent Neural Networks (CRNN) and the Open Graphics Library (OpenGL) to overcome the limitations of traditional design methods. This system seamlessly combines music and landscape elements, enhancing design accuracy, efficiency, dynamic effects, and interactivity to meet complex environmental requirements and diverse user demands, resulting in personalized, aesthetically rich landscape solutions. As a pioneering work in intelligent landscape design, this paper offers an advanced system that combines CRNN with OpenGL particle technology, effectively addressing challenges related to intelligence and adaptability in dynamic environments, which are often unmet by conventional approaches. The CRNN component is designed to parse musical input, enabling in-depth analysis of multi-dimensional music elements such as rhythm, melody, and emotional content. In parallel, the Internet of Things (IoT) technology ensures real-time data transmission and precise interpretation, allowing water features to synchronize accurately with musical rhythm and melody. The particle system, powered by OpenGL technology, simulates dynamic effects of natural landscape elements like waterfalls and water flows. By adjusting particle attributes (e.g., position, velocity, size, and color) over time, the system creates vivid, realistic visuals and interactive features, significantly enhancing user immersion. Explainable artificial intelligence (XAI) further enhances the system by making the underlying logic and processes of landscape generation transparent, thereby increasing interpretability. Experimental results show that, compared to traditional methods, this system improves music recognition accuracy by 10% and enhances the visual expressiveness and interactive realism of water features by over 20%, underscoring the system’s transformative potential and practical value in intelligent landscape design. The primary innovations of this paper include: 1) The deep integration of CRNN and OpenGL technologies to construct an intelligent landscape design system that surpasses traditional design limitations. 2) The novel application of music elements, analyzed by CRNN, into landscape design, expanding creative sources. 3) The extensive use of OpenGL particle technology to significantly enhance visual and dynamic effects in landscapes. 4) The pioneering incorporation of IoT, XAI, and Drone technologies to optimize the design process, improve system performance, and elevate user experience, advancing landscape design toward greater intelligence, personalization, and sustainability.","1558-4127","","10.1109/TCE.2025.3526219","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10832538","Intelligent landscape design;convolutional recurrent neural networks;OpenGL;Internet of Things;explainable artificial intelligence","Internet of Things;Real-time systems;Technological innovation;Feature extraction;Explainable AI;Accuracy;Rhythm;Consumer electronics;Vehicle dynamics;Solid modeling","","","","33","CCBYNCND","7 Jan 2025","May 2025","","IEEE","IEEE Journals"
"A Multi Module Deep Learning Framework for User Preferences and Behaviour in FM Radio","C.Selvarathi; G. N. Kumar; A.Kumar; P.Pandiaraja; C. P. V; S.Maheswari","Department of Computer Science and Engineering, Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology, Avadi, Chennai, Tamilnadu, India; Department of Computer Science and Engineering, Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology, Avadi, Chennai, Tamilnadu, India; Department of Computer Science and Engineering, Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology, Avadi, Chennai, Tamilnadu, India; Department of Computer Science and Engineering, Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology, Avadi, Chennai, Tamilnadu, India; Department of Computer Science and Engineering, Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology, Chennai, Tamilnadu, India; Department of Artificial Intelligence and Data Science, Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology, Avadi, Chennai, Tamilnadu, India",2026 6th International Conference on Image Processing and Capsule Networks (ICIPCN),"23 Mar 2026","2026","","","1069","1074","The Speech Processing Project is a broad process of giving meaning to the audio with the help of state-of-the-art machine learning and deep learning. This project brings together a number of key modules in order to reach some very important goals, which include preparing audio, speech transcription, inappropriate content detection, identifying song preferences, and estimating the age of speakers. Taking advantage of state-of-the-art models like OpenAI's Whisper for converting speech to text, Facebook's Wav2Vec2 for classifying audio, and Cardiff NLP for detecting offensive material, the following project offers a powerful yet flexible means to analyze a wide variety of audio information. The preprocessing pipeline employs tools such as Librosa and Noisereduce for noise reduction, normalization, and dynamic range compression to make sure that high-quality audio goes into the models. Besides, in-house machine learning models with Scikit-learn-trained algorithms attained a mean squared error (MSE) of 0.35 for speaker age estimation and more than 95% accuracy for transcription analysis. The module for song preference analysis was seen to be able to classify songs by era with 90% confidence and map preferences to age groups successfully. Through automating music and conversation audio analysis, the project provides outputs as accurate transcripts, confidently detected inappropriate content, song tastes by time ranges and age groups, and results of age estimation. Provided through interactive visualizations and reports in details, the project outputs indicate that it can handle real-world tasks for audio analysis and promoting precision and scalability across applications.","","979-8-3315-9981-2","10.1109/ICIPCN67432.2026.11438825","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11438825","Audio Processing;Speech-to-Text;Whisper Model;Wav2Vec2;Offensive Content Detection;Song Preference Analysis;Transcription Analysis;Scikit-learn;Librosa;Inappropriate Content Detection","Deep learning;Analytical models;Vocabulary;Accuracy;Pipelines;Estimation;Sensor systems;Sensors;Speech processing;Speech to text","","","","15","IEEE","23 Mar 2026","27-29 Jan. 2026","27-29 Jan. 2026","IEEE","IEEE Conferences"
"Machine Learning-Based Typhoid Prediction Using Clinical Data","A. K. Ghosh; S. Marjan; R. A. Nayeem; S. M. A. Al Muhib; M. H. I. Bijoy; M. H. Islam","Dept. of CSE, Daffodil International University, Dhaka, Bangladesh; Dept. of CSE, Daffodil International University, Dhaka, Bangladesh; Dept. of CSE, Daffodil International University, Dhaka, Bangladesh; Dept. of CSE, Daffodil International University, Dhaka, Bangladesh; Dept. of CSE, Daffodil International University, Dhaka, Bangladesh; Dept. of CSE, Daffodil International University, Dhaka, Bangladesh","2025 IEEE 4th International Conference on Robotics, Automation, Artificial-Intelligence and Internet-of-Things (RAAICON)","7 May 2026","2025","","","537","542","The paper investigates the issue of early diagnosis of typhoid fever with the help of a machine learning procedure based on the clinical and demographic data. Such preprocessing of the data was based on which a number of models were trained and assessed. Gradient Boosting turned out to be the most efficient model due to the given 100 per cent accuracy and the totally accurate multiple classes. The results indicate that machine learning and, in particular, the ensemble methods could act as an effective and efficient diagnostic instrument in a low-resource environment. Such method can be an alternative and cheaper to use as the traditional diagnostics. They still need to be externally validated using other datasets, though, to be sure of generalizability.","","979-8-3315-9281-3","10.1109/RAAICON69033.2025.11502444","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11502444","Typhoid Diagnosis;Machine Learning;Predictive Modeling;Widal Test;Gradient Boosting","Internet of Things;Internet;Protocols;Communication systems;Instant messaging;HTTP;Electronic messaging;Mobile handsets;Communications technology;Artificial intelligence","","","","11","IEEE","7 May 2026","27-28 Nov. 2025","27-28 Nov. 2025","IEEE","IEEE Conferences"
"A Two-Point Association Tracking System Incorporated With YOLOv11 for Real-Time Visual Tracking of Laparoscopic Surgical Instruments","N. Nyi Myo; A. Boonkong; K. Khampitak; D. Hormdee","Department of Computer Engineering, Faculty of Engineering, Khon Kaen University, Khon Kaen, Thailand; Department of Computer Engineering, Faculty of Engineering, Nakhon Phanom University, Nakhon Phanom, Thailand; Department of Obstetrics and Gynecology, Faculty of Medicine, Khon Kaen University, Khon Kaen, Thailand; Department of Computer Engineering, Faculty of Engineering, Khon Kaen University, Khon Kaen, Thailand",IEEE Access,"22 Jan 2025","2025","13","","12225","12238","The application of real-time visual tracking in laparoscopic surgery has gained significant attention in recent years, driven by the growing demand for precise and automated surgical assistance. Instrument tracking, in particular, is critical for enhancing the safety and efficacy of minimally invasive surgery, where direct visibility is often limited. Real-time tracking of surgical instruments allows for more accurate maneuvering, reduces the risk of accidental tissue damage, and enables the development of advanced computer-assisted surgical systems. In this context, advancements in deep learning, particularly through detection models and modern tracking algorithms, have opened new avenues for addressing the challenges posed by real-time laparoscopic instrument tracking. However, according to the preliminary results, the existing combination of the detection model and tracking algorithm could not often handle the remaining challenges, including fast-motion speed, occlusion, overlapping, and close proximity of surgical instruments. This paper proposes a novel two-point association approach for surgical instrument tracking using a combination of YOLOv11 for object detection and refined ByteTrack for tracking. The proposed system is evaluated on a comprehensive dataset of surgical videos. The experimental results demonstrate superior performance in terms of segmentation accuracy (via F1-score), tracking robustness (via MOTA and HOTA), and real-time processing speed (via FPS). In order to validate the effectiveness of this research, real-time surgical instrument tracking is performed with the streaming of laparoscopic gynecologic surgery on a donated soft-tissue cadaver. The results indicate that the proposed system significantly improves the segmentation and tracking of surgical instruments, offering a reliable tool for enhancing intraoperative navigation and reducing the risk of surgical errors. This work contributes to the advancement of intelligent surgical systems, providing a foundation for further integration of machine learning techniques in the operating room.","2169-3536","","10.1109/ACCESS.2025.3529710","Khon Kaen University Greater Mekong Subregion (GMS) Scholarship, Thailand; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10840191","Real-time tracking;deep learning;surgical instrument segmentation;laparoscopic surgery;YOLOv11;ByteTrack","Instruments;Real-time systems;Radar tracking;Tracking;Minimally invasive surgery;Accuracy;Visualization;Laparoscopes;YOLO;Videos","","9","","44","CCBY","14 Jan 2025","2025","","IEEE","IEEE Journals"
"Classification Of Carnatic Music Ragas Using RNN Deep Learning Models","K. R; P. S. S","Amrita School of Computing, Amrita Vishwa Vidyapeetham, Amritapuri, India; Department of Electronics and Communication Engineering, Amrita Vishwa Vidyapeetham, Amritapuri, India",2023 14th International Conference on Computing Communication and Networking Technologies (ICCCNT),"23 Nov 2023","2023","","","1","6","Present-day listeners can find it challenging to invest the time and effort necessary to learn the fundamentals of a particular genre of music. It would be easier to study Carnatic music in a shorter length of time if a paradigm that classifies the ragas existed. This would appeal to a bigger number of people since it would take less time to learn Carnatic music. In this sort of exploratory study, audio recordings are utilized as input to construct a model that can categorize classical music into a range of ragas. The model can also classify different types of classical music. For this, the features are retrieved by employing signal processing techniques to extract MFCCs, Spectral Rolloff, Zero Crossing rate, Spectrograms, and Spectral Centroids. After that, RNN Deep Learning models viz. LSTM and Bidirectional LSTM were trained and assessed to evaluate the model performance. The evaluation accuracy of these models came out to be 92.13% and 97.63% respectively.","2473-7674","979-8-3503-3509-5","10.1109/ICCCNT56998.2023.10308122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10308122","Ragas Classification;Audio Feature Extraction;Deep Learning;LSTM;Bidirectional LSTM","Deep learning;Computational modeling;Music;Feature extraction;Audio recording;Spectrogram","","7","","17","IEEE","23 Nov 2023","6-8 July 2023","6-8 July 2023","IEEE","IEEE Conferences"
"Performance of Machine Learning Using Preprocessing and Classification for Intrusion Detection System","T. Tun; K. K. Wai; M. S. Khaing","Cisco Lab, UCSY, University of Computer Studies, Yangon, Yangon, Myanmar; Cisco Lab, UCSY, University of Computer Studies, Yangon, Yangon, Myanmar; Cisco Lab, UCSY, University of Computer Studies, Yangon, Yangon, Myanmar",2023 IEEE Conference on Computer Applications (ICCA),"19 Jul 2023","2023","","","260","265","Extracting valuable information from data is a challenging task. Many times, because of massive, redundant, incorrect and noisy outcomes, an analyst will end up with an incorrect classifier. It can also be due to misinterpreting the results and using incorrect procedures for a particular scenario. In our research, we discussed Naïve Bayes, one of the principal approaches to data mining. We did a comparative study of this approach as well. WEKA, which is open source software, was the instrument we used. The datasets used in the NSL-KDD dataset are KDDTrain+.arff and the datasets used in the DARPA dataset are DARPAWeek3-1.arff. ARFF is an abbreviation for Attribute Relation File Format, the simple dataset format that has been adopted by WEKA. The training set sample size is the amount of attributes that are present in the dataset and the amount of documents. Classification models shall be evaluated on the basis of the amount of class labels included in the dataset, the accuracy, the quantity and duration of the legislation created, the error rate and the standing status of the classification. The results show that, based on the amount of experiments we have performed, Naïve Bayes provides better accuracy with discretization than without discretization.","","978-1-6654-3599-4","10.1109/ICCA51723.2023.10181620","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10181620","Intrusion Detection System (IDS);Machine Learning (ML);Naïve Bayes (NB);NSL-KDD Dataset;DARPA Dataset","Training;Intrusion detection;Training data;Legislation;Machine learning;Naive Bayes methods;Data mining","","5","","12","IEEE","19 Jul 2023","27-28 Feb. 2023","27-28 Feb. 2023","IEEE","IEEE Conferences"
"Multimodal NLP-Audio Approach for Early Alzheimer's Detection Using BERT and Acoustic Embeddings","M. Kumari; R. Lal; A. Mehta","Department of Computer Science and Engineering, Chandigarh University, Mohali, India; Department of Computer Science and Engineering, Chandigarh University, Mohali, India; Department of Computer Science and Engineering, Chandigarh University, Mohali, India",2025 International Conference on Computing and Communications (COMPUTINGCON),"20 Feb 2026","2025","","","1","6","Alzheimer's disease, or AD, requires early diagnosis to intervene and reverse the progression of the condition. In this paper, a strong multimodal scheme is proposed by incorporating Natural Language Processing (NLP) and signal processing of the acoustic signal to detect early indications of AD. The postulated system will use Bidirectional Encoder Representations from Transformers (BERT) to capture semantic and syntactic information of transcribed speech and acoustic information through Melfrequency cepstral coefficient (MFCC) and pretrained sound models like VGGish. The methodology comprises broad preprocessing of the datasets of clinical interviews, extraction of linguistics and acoustic embeddings, and combination of these features through a late-fusion-based design in a deep neural network framework. The pipeline includes the modular sets of steps, such as pre-processing, training, evaluation, and realtime inference using a web interface. Performance was found to be an overall accuracy of 92% on labelled clinical data. Its system allows effortless interaction with the users through uploading audio or inputting text and produces results interpretable with clinical suggestions. In the future, we will extend the dataset with multilingual and nonhomogeneous speech samples, adopt methods of explainable AI, e.g., SHAP and LIME, and also support longitudinal monitoring of cognitive dynamics and the optimization of the framework to run on edge hardware that would allow us to screen people remotely in resource-limited areas.","","979-8-3315-2253-7","10.1109/COMPUTINGCON64838.2025.11378027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11378027","Multimodal Learning;Natural Language Processing;Audio Signal Processing;BERT Transformers;Alzheimer's Disease (AD);Acoustic Embeddings","Explainable AI;Bidirectional control;Transformers;Feature extraction;Acoustics;Natural language processing;Encoding;Multilingual;Alzheimer's disease;Mel frequency cepstral coefficient","","","","10","IEEE","20 Feb 2026","1-3 Sept. 2025","1-3 Sept. 2025","IEEE","IEEE Conferences"
"Sightless Showdown: a Comparative Study of AI and Human Performance Without Vision in a Fighting Game","I. Khan; M. C. Gursesli; R. Thawonmas; A. Lanata","Graduate School of Information Science and Engineering, Ritsumeikan University, Japan; Faculty of Information Technology and Communication Sciences, Tampere University, Tampere, Finland; College of Information Science and Engineering, Ritsumeikan University, Japan; Department of Information Engineering, University of Florence, Italy",2025 IEEE 14th Global Conference on Consumer Electronics (GCCE),"12 Dec 2025","2025","","","1071","1075","This paper presents a comparative evaluation of a blind reinforcement learning agent and visually impaired human players in a fighting game using only audio inputs. The study employs DareFightingICE, a fighting game platform with enhanced sound design tailored for visually impaired users, to assess whether a blind AI trained with audio inputs can perform comparably to domain-expert human players under sightless conditions. The blind Artificial Intelligence (AI), trained over 900 rounds using three audio encoders (1D convolutional neural networks, fast Fourier transform, and Mel-spectrogram) and data from 25 domain-expert human players (21 male, 3 female, 1 non-binary; age range = 18–35 years), was tested against a weakened Monte Carlo Tree Search opponent. Results indicate no statistically significant difference in performance between the blind AI and human players, suggesting that audio-driven AI can serve as a viable proxy for human testing during early-stage sound design validation in accessible game development.","2693-0854","979-8-3315-2416-6","10.1109/GCCE65946.2025.11274764","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11274764","Blind Artificial Intelligence;Audio-based Reinforcement Learning;Accessible Game Design;Human-Computer Interaction","Human computer interaction;Monte Carlo methods;Trees (botanical);Games;Reinforcement learning;Life estimation;Market research;Iterative methods;Artificial intelligence;Testing","","","","20","IEEE","12 Dec 2025","23-26 Sept. 2025","23-26 Sept. 2025","IEEE","IEEE Conferences"
"Processing of Optical Imagery Onboard Earth Observation Satellites: Benchmarking An Embedded Computing Approach","J. Hobson; S. Merzouk; S. Wang; J. Mills; D. Bhowmik","School of Engineering, Newcastle University, Newcastle Upon Tyne, UK; Airbus Defense and Space, Guildford, UK; School of Engineering, Newcastle University, Newcastle Upon Tyne, UK; School of Engineering, Newcastle University, Newcastle Upon Tyne, UK; School of Computing, Newcastle University, Newcastle Upon Tyne, UK",2025 IEEE Sensors Applications Symposium (SAS),"13 Aug 2025","2025","","","1","5","As the demand for satellite imagery increases, efficient data processing at the sensor level is essential to overcome bandwidth and latency limitations. This study investigates the use of AI-driven atmospheric cloud segmentation directly onboard satellites to optimise sensor data utilisation, reduce transmission loads, and enable autonomy in Earth observation missions. Various deep learning models were tested on embedded hardware to assess their feasibility under power and computational constraints. While some models achieved high accuracy, their resource demands made them impractical for real-time deployment. A lightweight approach, particularly using optimized versions of CloudNet, demonstrated an effective balance between efficiency and performance. The research highlights the impact of model selection and optimization techniques in enabling real-time cloud detection on small / cube satellites, offering insights into practical onboard AI implementation and providing meaningful guidance on selecting models best suited for different satellite applications based on hardware limitations.","2766-3078","979-8-3315-1193-7","10.1109/SAS65169.2025.11105206","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11105206","Cloud Segmentation;Embedded Computing;Onboard Satellite Processing;Deep Learning","Cloud computing;Image segmentation;Satellites;Accuracy;Computational modeling;Atmospheric modeling;Real-time systems;Hardware;Optimization;Load modeling","","","","18","IEEE","13 Aug 2025","8-10 July 2025","8-10 July 2025","IEEE","IEEE Conferences"
"CoPianist: Co-Playing with a Virtual Pianist in an Interactive VR System for Piano Practice","D. T. Trung; A. Sadeghi-Niaraki; J. S. Bazargani; S. -M. Choi","Department of Computer Science and Engineering and Convergence Engineering for Intelligent Drone, XR Research Center, Sejong University, Seoul, Korea; Department of Computer Science and Engineering and Convergence Engineering for Intelligent Drone, XR Research Center, Sejong University, Seoul, Korea; Department of Computer Science and Engineering and Convergence Engineering for Intelligent Drone, XR Research Center, Sejong University, Seoul, Korea; Department of Computer Science and Engineering and Convergence Engineering for Intelligent Drone, XR Research Center, Sejong University, Seoul, Korea",2026 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),"1 May 2026","2026","","","1309","1310","Professional piano practice often lacks immediate and expressive feedback when conducted without an instructor or collaborative partner. This pilot study explores how immersive and generative technologies can enhance advanced piano training through CoPianist, a virtual reality system integrating generative AI for MIDI-based guidance and virtual hand simulation. The system combines adaptive MIDI performance generation with synchronized virtual hand movements, allowing learners to observe and co-perform with a virtual pianist on a simulated piano. Using hand tracking and realtime MIDI analysis, CoPianist delivers feedback on note accuracy, tempo stability, and technical execution.","","979-8-3195-0529-3","10.1109/VRW70859.2026.00329","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11489685","Virtual reality;generative artificial intelligence;hu-man-computer interaction;training and education","Feedback;Circuits;Graphical user interfaces;Communications technology;Protocols;Information and communication technology;HTTP;Avatars;Generative AI;Graphical user interfaces","","","","4","IEEE","1 May 2026","21-25 March 2026","21-25 March 2026","IEEE","IEEE Conferences"
"Automatic Classification of Algorithm Citation Functions in Scientific Literature","S. Tuarob; S. W. Kang; P. Wettayakorn; C. Pornprasit; T. Sachati; S. -U. Hassan; P. Haddawy","Faculty of Information and Communication Technology, Mahidol University, Salaya Phutthamonthon, Thailand; College of Engineering, Inha University, Incheon, South Korea; Faculty of Information and Communication Technology, Mahidol University, Salaya Phutthamonthon, Thailand; Faculty of Information and Communication Technology, Mahidol University, Salaya Phutthamonthon, Thailand; Faculty of Information and Communication Technology, Mahidol University, Salaya Phutthamonthon, Thailand; Information Technology University, Punjab, Pakistan; Faculty of Information and Communication Technology, Mahidol University, Salaya Phutthamonthon, Thailand",IEEE Transactions on Knowledge and Data Engineering,"10 Sep 2020","2020","32","10","1881","1896","Computer sciences and related disciplines evolve around developing, evaluating, and applying algorithms. Typically, an algorithm is not developed from scratch, but uses and builds upon existing ones, which often are proposed and published in scholarly articles. The ability to capture this evolution relationship among these algorithms in scientific literature would not only allow us to understand how a particular algorithm is composed, but also shed light on large-scale analysis of algorithmic evolution through different temporal spans and thematic scales. We propose to capture such evolution relationship between two algorithms by investigating the knowledge represented in citation contexts, where authors explain how cited algorithms are used in their works. A set of heterogeneous ensemble machine-learning methods is proposed, where the combination of two base classifiers trained with heterogeneous feature types is used to automatically identify the algorithm usage relationship. The proposed heterogeneous ensemble methods achieve the best average F1 of 0.749 and 0.905 for fine-grained and binary algorithm citation function classification, respectively. The success of this study will allow us to generate a large-scale algorithm citation network from a collection of scholarly documents representing multiple time spans, venues, and fields of study. Such a network will be used as an instrument not only to answer critical questions in algorithm search, such as identifying the most influential and generalizable algorithms, but also to study the evolution of algorithmic development and trends over time.","1558-2191","","10.1109/TKDE.2019.2913376","Office of the Higher Education Commission; Thailand Research Fund(grant numbers:MRG6080252); Korean Foundation for Advanced Studies (KFAS) International Scholar Exchange Fellowship; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8700263","Algorithm citation;ensemble machine learning;scholarly big data;algorithmic evolution","Feature extraction;Machine learning algorithms;Metadata;Clustering algorithms;Approximation algorithms;Machine learning;Computer science","","27","","48","IEEE","26 Apr 2019","1 Oct. 2020","","IEEE","IEEE Journals"
"Fostering Musical Partnership: A Human-Centric Robotic Co-Player for Accessible and Adaptive Piano Learning","D. Uththara; B. Hettige; T. Goonathilake; P. Dayarathne","Department of Computer Engineering, Faculty of Computing, General Sir John Kotelawala Defence University, Ratmalana, Sri Lanka; Department of Knowledge Engineering and Communication, Faculty of Computing, University of Sri Jayawardenapura, Sri Lanka; Department of Computer Engineering, Faculty of Computing, General Sir John Kotelawala Defence University, Ratmalana, Sri Lanka; Department of Computer Engineering, Faculty of Computing, General Sir John Kotelawala Defence University, Ratmalana, Sri Lanka",2025 9th SLAAI International Conference on Artificial Intelligence (SLAAI-ICAI),"12 Jan 2026","2025","","","1","6","Meaningful human-robot interaction in creative domains requires systems that can adapt not just to tasks, but to the user’s style, skill, and emotional state. In the context of piano playing, this challenge is acute for both users with disabilities and beginners. We introduce a human-centric robotic co-player engineered to transcend mere accompaniment and become a collaborative musical partner. Our system architecture integrates a machine learning model for real-time adaptation to player tempo and harmony with a biomimetic robotic hand that provides tangible, expressive feedback. A user study involving one-handed pianists ($N=10$) and novice learners ($N=10$) was conducted to evaluate the system’s impact on accessibility, learning, and user experience. Quantitative analysis revealed significant gains in playing synchronization and a dramatic increase in the ability of disabled users to approach complex repertoire. Qualitative feedback strongly corroborated these findings, with participants reporting a profound sense of empowerment, engagement, and partnership. This work contributes a validated design for adaptive robotic systems that enhance human capability and foster collaborative creativity. Creating genuine musical partnership between humans and robots requires a shift from pre-programmed accompaniment to real-time, predictive collaboration. Current systems often fail to adapt to a user’s style and intent, posing a significant barrier for learners and individuals with motor impairments. This paper introduces a human-centric robotic co-player whose core intelligence is a Transformer-based neural network designed for live harmonic prediction. By analyzing a user’s melodic MIDI input in real-time, the model generates a musically coherent accompaniment that dynamically adapts to the human’s timing and expression. This AI-driven musical response is physically rendered with low latency by a 6-DoF manipulator featuring a custom, bio-inspired hand, creating a closed-loop interactive system. We validated this architecture through a formal user study involving one-handed pianists $(N=10)$ and novice learners ($N=10$). The system yielded significant objective performance gains, including a $45.4 \%$ reduction in average synchronization error. Critically, qualitative feedback confirmed that users overwhelmingly perceived the system as a collaborative partner, not merely a tool. This work contributes a validated architecture for embodied AI systems that successfully fosters creative partnership and enhances musical accessibility.","","979-8-3315-6123-9","10.1109/SLAAI-ICAI68534.2025.11318490","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11318490","Human-Robot Collaboration;Embodied AI;Assistive Robotics;Transformer Models;Deep Learning for Music;Piano Accessibility;Human-Centric AI","Hands;Adaptation models;Music;Collaboration;Human-robot interaction;Transformers;Robot sensing systems;Real-time systems;Synchronization;Robots","","","","23","IEEE","12 Jan 2026","19-21 Nov. 2025","19-21 Nov. 2025","IEEE","IEEE Conferences"
"Perceptual Musical Features for Interpretable Audio Tagging","V. Lyberatos; S. Kantarelis; E. Dervakos; G. Stamou","National Technical University of Athens, Athens, Greece; National Technical University of Athens, Athens, Greece; National Technical University of Athens, Athens, Greece; National Technical University of Athens, Athens, Greece","2024 IEEE International Conference on Acoustics, Speech, and Signal Processing Workshops (ICASSPW)","10 Sep 2024","2024","","","878","882","In the age of music streaming platforms, the task of automatically tagging music audio has garnered significant attention, driving researchers to devise methods aimed at enhancing performance metrics on standard datasets. Most recent approaches rely on deep neural networks, which, despite their impressive performance, possess opacity, making it challenging to elucidate their output for a given input. While the issue of interpretability has been emphasized in other fields like medicine, it has not received attention in music-related tasks. In this study, we explored the relevance of interpretability in the context of automatic music tagging. We constructed a workflow that incorporates three different information extraction techniques: a) leveraging symbolic knowledge, b) utilizing auxiliary deep neural networks, and c) employing signal processing to extract perceptual features from audio files. These features were subsequently used to train an interpretable machine-learning model for tag prediction. We conducted experiments on two datasets, namely the MTG-Jamendo dataset and the GTZAN dataset. Our method surpassed the performance of baseline models in both tasks and, in certain instances, demonstrated competitiveness with the current state-of-the-art. We conclude that there are use cases where the deterioration in performance is outweighed by the value of interpretability.","","979-8-3503-7451-3","10.1109/ICASSPW62465.2024.10669903","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10669903","Perceptual features;Explainable artificial intelligence;Music audio tagging","Measurement;Knowledge engineering;Artificial neural networks;Machine learning;Tagging;Signal processing;Predictive models","","4","","38","IEEE","10 Sep 2024","14-19 April 2024","14-19 April 2024","IEEE","IEEE Conferences"
